region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
CORSE,42,0.25,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1129105,95977943.3843107,3,6.45600116093953,-275.119666341146
CORSE,1,0.65,1,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1128379,95977943.4372142,5,12.6554069003543,-275.225946787241
CORSE,70,5.55,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,Paysage mixte,Bassin viticole,Bassin viticole,Bas de coteau,0,Plein soleil,Information inconnue,0,0,0,,1130563,95977943.4315401,22,12.4324677950376,-274.753571349305
CORSE,70,0.21,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,Paysage mixte,Bassin viticole,Bassin viticole,Bas de coteau,0,Plein soleil,Information inconnue,0,0,0,,1129835,95977943.4334964,3,10.4398644904833,-274.814933983055
NOUVELLE-AQUITAINE,9,10,1,Mais,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Information inconnue,0,1,0,,1063449,95977252.2386288,23,9.13220129422615,-273.836868005296
NOUVELLE-AQUITAINE,158,8.19,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Information inconnue,0,1,0,,1065640,95977941.9645443,21,8.31937599182129,-273.649129676819
CORSE,6,2,1,Salade,"Mediterraneen, zone de l'olivier",Paysage mixte,Bocage a dominante polyculture elevage,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Information inconnue,0,0,0,,1129108,95977943.4612996,5,12.9230817648081,-275.05878115923
NOUVELLE-AQUITAINE,22,1.45,1,Vigne,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Bassin viticole,Bassin viticole,Fond de vallee,0,Plein soleil,Ouest,0,0,0,,1067092,95977941.936624,22,9.21272492260666,-273.31416045953
OCCITANIE,158,4.7,1,Vigne,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,,Bassin viticole,Bassin viticole,Plateau,0,Plein soleil,Ouest,0,0,0,,1075099,95977941.9073619,3,8.80324428112476,-272.867272909586
NOUVELLE-AQUITAINE,153,10,1,Vigne,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Bassin viticole,Bassin viticole,Plateau,0,Plein soleil,Ouest,0,1,0,,1066375,95977942.0068371,21,8.42284433341321,-273.632469648196
HAUTS-DE-FRANCE,81,4.6,1,Ble,Semi-oceanique a semi-continental,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plateau,0,Plein soleil,Ouest,0,0,0,,1064955,95977942.2888593,21,6.66149422766148,-273.313101055978
NOUVELLE-AQUITAINE,82,10.8,0,Mais,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,1,Plein soleil,Ouest,0,1,0,,1067825,95977941.9647184,21,8.59437618255615,-273.106937408447
CENTRE-VAL DE LOIRE,157,21.5,1,Ble,Semi-continental sud,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,1,1,0,,1074405,95977942.1432041,21,7.96481970210134,-272.956421463578
NORMANDIE,90,10,1,Ble,Oceanique a semi-oceanique nord,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,626202,95977942.2374267,21,7.68604332901711,-272.745929451876
NORMANDIE,89,10,0,Mais,Oceanique a semi-oceanique nord,Open field,,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,626202,95977942.2374267,21,7.68604332901711,-272.745929451876
CENTRE-VAL DE LOIRE,128,10,1,Ble,Semi-oceanique,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1067120,95977942.1251952,21,7.66855444594058,-272.799579917314
CENTRE-VAL DE LOIRE,150,11.11,1,Ble,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,1066396,95977942.1583011,21,7.2773764246986,-272.607254754929
PAYS DE LOIRE,61,3.25,1,Vigne,Oceanique a semi-oceanique nord,Paysage mixte,Bocage a dominante polyculture elevage,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Ouest,0,1,0,,642979,95977942.007287,1,8.56951034359816,-273.596341202899
NOUVELLE-AQUITAINE,78,1.21,0,Mais,Oceanique a semi oceanique sud,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,1,Plein soleil,Ouest,0,1,1,,1070721,95977941.8654107,3,9.09807581779284,-272.380065331092
CENTRE-VAL DE LOIRE,130,7.9,1,Ble,Semi-oceanique a semi-continental,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plateau,0,Plein soleil,Ouest,0,1,0,,1064939,95977942.1542148,21,7.13875235326191,-272.725799199392
NOUVELLE-AQUITAINE,94,5.28,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1069282,95977941.9668046,21,8.78687496185303,-272.863624763489
NOUVELLE-AQUITAINE,124,7.8,1,Mais,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,1065641,95977941.9706814,21,8.069756242964,-273.694570659119
